,neighbourhood,num_crimes
0,agincourt north,375
1,agincourt southmalvern west,488
2,alderwood,192
3,annex,930
4,banburydon mills,393
5,bathurst manor,246
6,bay street corridor,1666
7,bayview village,334
8,bayview woodssteeles,169
9,bedford parknortown,365
10,beechboroughgreenbrook,239
11,bendale,832
12,birchcliffecliffside,514
13,black creek,709
14,blakejones,217
15,briar hillbelgravia,333
16,bridle pathsunnybrookyork mills,150
17,broadview north,163
18,brookhavenamesbury,390
19,cabbagetownsouth st james town,384
20,caledoniafairbank,195
21,casa loma,148
22,centennial scarborough,144
23,churchyonge corridor,1873
24,clairleabirchmount,960
25,clanton park,363
26,cliffcrest,377
27,corso italiadavenport,286
28,danforth,342
29,danforth east york,217
30,don valley village,551
31,dorset park,664
32,dovercourtwallace emersonjunction,790
33,downsviewrodingcfb,1215
34,dufferin grove,311
35,east enddanforth,657
36,edenbridgehumber valley,200
37,eglinton east,664
38,elmsold rexdale,175
39,englemountlawrence,363
40,eringatecentennialwest deane,280
41,etobicoke west mall,202
42,flemingdon park,428
43,forest hill north,194
44,forest hill south,132
45,glenfieldjane heights,859
46,greenwoodcoxwell,417
47,guildwood,150
48,henry farm,219
49,high park north,375
50,high parkswansea,373
51,highland creek,264
52,hillcrest village,275
53,humber heightswestmount,170
54,humber summit,488
55,humbermede,436
56,humewoodcedarvale,192
57,ionview,362
58,islingtoncity centre west,1060
59,junction area,366
60,keelesdaleeglinton west,253
61,kennedy park,727
62,kensingtonchinatown,1198
63,kingsview villagethe westway,454
64,kingsway south,188
65,lambton baby point,126
66,lamoreaux,586
67,lansingwestgate,241
68,lawrence park north,183
69,lawrence park south,221
70,leasidebennington,207
71,little portugal,287
72,long branch,247
73,malvern,768
74,maple leaf,122
75,markland wood,148
76,milliken,574
77,mimico includes humber bay shores,669
78,morningside,403
79,moss park,1325
80,mount dennis,326
81,mount olivesilverstonejamestown,867
82,mount pleasant east,134
83,mount pleasant west,409
84,new toronto,322
85,newtonbrook east,301
86,newtonbrook west,483
87,niagara,718
88,north riverdale,279
89,north st james town,552
90,nsa,912
91,oakridge,616
92,oakwood village,374
93,oconnorparkview,530
94,old east york,175
95,palmerstonlittle italy,354
96,parkwoodsdonalda,548
97,pelmo parkhumberlea,259
98,playter estatesdanforth,226
99,pleasant view,161
100,princessrosethorn,175
101,regent park,355
102,rexdalekipling,200
103,rockcliffesmythe,524
104,roncesvalles,380
105,rosedalemoore park,406
106,rouge,698
107,runnymedebloor west village,189
108,rustic,228
109,scarborough village,515
110,south parkdale,585
111,south riverdale,777
112,standrewwindfields,354
113,steeles,262
114,stonegatequeensway,389
115,tam oshantersullivan,426
116,taylormassey,417
117,the beaches,351
118,thistletownbeaumond heights,240
119,thorncliffe park,315
120,trinitybellwoods,440
121,university,539
122,victoria village,387
123,waterfront communitiesthe island,2223
124,west hill,1099
125,west humberclairville,1713
126,westminsterbranson,386
127,weston,597
128,westonpelham park,311
129,wexfordmaryvale,882
130,willowdale east,589
131,willowdale west,263
132,willowridgemartingroverichview,370
133,woburn,1318
134,woodbine corridor,265
135,woodbinelumsden,166
136,wychwood,242
137,yongeeglinton,229
138,yongestclair,116
139,york university heights,1258
140,yorkdaleglen park,557
